teams_ordered,champion,champ_points,champ_margin,year
"['Bor. Mönchengladbach', 'FC Schalke 04', 'Eintracht Braunschweig', 'Eintracht Frankfurt', '1. FC Köln', 'Hamburger SV', 'Bayern München', 'Borussia Dortmund', 'MSV Duisburg', 'Hertha BSC', 'Werder Bremen', 'Fortuna Düsseldorf', '1. FC Kaiserslautern', '1. FC Saarbrücken', 'VfL Bochum', 'Karlsruher SC', 'TeBe Berlin', 'Rot-Weiss Essen']",Bor. Mönchengladbach,44,1,1976-1977
"['1. FC Köln', 'Bor. Mönchengladbach', 'Hertha BSC', 'VfB Stuttgart', 'Fortuna Düsseldorf', 'MSV Duisburg', 'Eintracht Frankfurt', '1. FC Kaiserslautern', 'FC Schalke 04', 'Hamburger SV', 'Borussia Dortmund', 'Bayern München', 'Eintracht Braunschweig', 'VfL Bochum', 'Werder Bremen', 'TSV 1860 München', '1. FC Saarbrücken', 'FC St. Pauli']",1. FC Köln,48,0,1977-1978
"['Hamburger SV', 'VfB Stuttgart', '1. FC Kaiserslautern', 'Bayern München', 'Eintracht Frankfurt', '1. FC Köln', 'Fortuna Düsseldorf', 'VfL Bochum', 'Eintracht Braunschweig', 'Bor. Mönchengladbach', 'Werder Bremen', 'Borussia Dortmund', 'MSV Duisburg', 'Hertha BSC', 'FC Schalke 04', 'Arminia Bielefeld', '1. FC Nürnberg', 'SV Darmstadt 98']",Hamburger SV,49,1,1978-1979
"['Bayern München', 'Hamburger SV', '1. FC Kaiserslautern', 'VfB Stuttgart', '1. FC Köln', 'Borussia Dortmund', 'Bor. Mönchengladbach', 'FC Schalke 04', 'Eintracht Frankfurt', 'VfL Bochum', 'Fortuna Düsseldorf', 'SV Bayer 04 Leverkusen', 'TSV 1860 München', 'MSV Duisburg', 'Bayer 05 Uerdingen', 'Hertha BSC', 'Werder Bremen', 'Eintracht Braunschweig']",Bayern München,50,2,1979-1980
"['Bayern München', 'Hamburger SV', 'VfB Stuttgart', '1. FC Kaiserslautern', 'Eintracht Frankfurt', 'Bor. Mönchengladbach', 'Borussia Dortmund', '1. FC Köln', 'VfL Bochum', 'Karlsruher SC', 'SV Bayer 04 Leverkusen', 'MSV Duisburg', 'Fortuna Düsseldorf', '1. FC Nürnberg', 'Arminia Bielefeld', 'TSV 1860 München', 'FC Schalke 04', 'Bayer 05 Uerdingen']",Bayern München,53,4,1980-1981
"['Hamburger SV', '1. FC Köln', 'Bayern München', '1. FC Kaiserslautern', 'Werder Bremen', 'Borussia Dortmund', 'Bor. Mönchengladbach', 'Eintracht Frankfurt', 'VfB Stuttgart', 'VfL Bochum', 'Eintracht Braunschweig', 'Arminia Bielefeld', '1. FC Nürnberg', 'Karlsruher SC', 'Fortuna Düsseldorf', 'SV Bayer 04 Leverkusen', 'SV Darmstadt 98', 'MSV Duisburg']",Hamburger SV,48,3,1981-1982
"['Hamburger SV', 'Werder Bremen', 'VfB Stuttgart', 'Bayern München', '1. FC Köln', '1. FC Kaiserslautern', 'Borussia Dortmund', 'Arminia Bielefeld', 'Fortuna Düsseldorf', 'Eintracht Frankfurt', 'SV Bayer 04 Leverkusen', 'Bor. Mönchengladbach', 'VfL Bochum', '1. FC Nürnberg', 'Eintracht Braunschweig', 'FC Schalke 04', 'Karlsruher SC', 'Hertha BSC']",Hamburger SV,52,0,1982-1983
"['VfB Stuttgart', 'Hamburger SV', 'Bor. Mönchengladbach', 'Bayern München', 'Werder Bremen', '1. FC Köln', 'Bayer Leverkusen', 'Arminia Bielefeld', 'Eintracht Braunschweig', 'Bayer 05 Uerdingen', 'Waldhof Mannheim', '1. FC Kaiserslautern', 'Borussia Dortmund', 'Fortuna Düsseldorf', 'VfL Bochum', 'Eintracht Frankfurt', 'Kickers Offenbach', '1. FC Nürnberg']",VfB Stuttgart,48,0,1983-1984
"['Bayern München', 'Werder Bremen', '1. FC Köln', 'Bor. Mönchengladbach', 'Hamburger SV', 'Waldhof Mannheim', 'Bayer 05 Uerdingen', 'FC Schalke 04', 'VfL Bochum', 'VfB Stuttgart', '1. FC Kaiserslautern', 'Eintracht Frankfurt', 'Bayer Leverkusen', 'Borussia Dortmund', 'Fortuna Düsseldorf', 'Arminia Bielefeld', 'Karlsruher SC', 'Eintracht Braunschweig']",Bayern München,50,4,1984-1985
"['Bayern München', 'Werder Bremen', 'Bayer 05 Uerdingen', 'Bor. Mönchengladbach', 'VfB Stuttgart', 'Bayer Leverkusen', 'Hamburger SV', 'Waldhof Mannheim', 'VfL Bochum', 'FC Schalke 04', '1. FC Kaiserslautern', '1. FC Nürnberg', '1. FC Köln', 'Fortuna Düsseldorf', 'Eintracht Frankfurt', 'Borussia Dortmund', '1. FC Saarbrücken', 'Hannover 96']",Bayern München,49,0,1985-1986
"['Bayern München', 'Hamburger SV', 'Bor. Mönchengladbach', 'Borussia Dortmund', 'Werder Bremen', 'Bayer Leverkusen', '1. FC Kaiserslautern', 'Bayer 05 Uerdingen', '1. FC Nürnberg', '1. FC Köln', 'VfL Bochum', 'VfB Stuttgart', 'FC Schalke 04', 'Waldhof Mannheim', 'Eintracht Frankfurt', 'FC 08 Homburg', 'Fortuna Düsseldorf', 'Blau-Weiß 90 Berlin']",Bayern München,53,6,1986-1987
"['Werder Bremen', 'Bayern München', '1. FC Köln', 'VfB Stuttgart', '1. FC Nürnberg', 'Hamburger SV', 'Bor. Mönchengladbach', 'Bayer Leverkusen', 'Eintracht Frankfurt', 'Hannover 96', 'Bayer 05 Uerdingen', 'VfL Bochum', 'Borussia Dortmund', '1. FC Kaiserslautern', 'Karlsruher SC', 'Waldhof Mannheim', 'FC 08 Homburg', 'FC Schalke 04']",Werder Bremen,52,4,1987-1988
"['Bayern München', '1. FC Köln', 'Werder Bremen', 'Hamburger SV', 'VfB Stuttgart', 'Bor. Mönchengladbach', 'Borussia Dortmund', 'Bayer Leverkusen', '1. FC Kaiserslautern', 'FC St. Pauli', 'Karlsruher SC', 'Waldhof Mannheim', 'Bayer 05 Uerdingen', '1. FC Nürnberg', 'VfL Bochum', 'Eintracht Frankfurt', 'Stuttgarter Kickers', 'Hannover 96']",Bayern München,50,5,1988-1989
"['Bayern München', '1. FC Köln', 'Eintracht Frankfurt', 'Borussia Dortmund', 'Bayer Leverkusen', 'VfB Stuttgart', 'Werder Bremen', '1. FC Nürnberg', 'Fortuna Düsseldorf', 'Karlsruher SC', 'Hamburger SV', '1. FC Kaiserslautern', 'FC St. Pauli', 'Bayer 05 Uerdingen', 'Bor. Mönchengladbach', 'VfL Bochum', 'Waldhof Mannheim', 'FC 08 Homburg']",Bayern München,49,6,1989-1990
"['1. FC Kaiserslautern', 'Bayern München', 'Werder Bremen', 'Eintracht Frankfurt', 'Hamburger SV', 'VfB Stuttgart', '1. FC Köln', 'Bayer Leverkusen', 'Bor. Mönchengladbach', 'Borussia Dortmund', 'SG Wattenscheid 09', 'Fortuna Düsseldorf', 'Karlsruher SC', 'VfL Bochum', '1. FC Nürnberg', 'FC St. Pauli', 'Bayer 05 Uerdingen', 'Hertha BSC']",1. FC Kaiserslautern,48,3,1990-1991
"['VfB Stuttgart', 'Borussia Dortmund', 'Eintracht Frankfurt', '1. FC Köln', '1. FC Kaiserslautern', 'Bayer Leverkusen', '1. FC Nürnberg', 'Karlsruher SC', 'Werder Bremen', 'Bayern München', 'FC Schalke 04', 'Hamburger SV', 'Bor. Mönchengladbach', 'Dynamo Dresden', 'VfL Bochum', 'SG Wattenscheid 09', 'Stuttgarter Kickers', 'Hansa Rostock', 'MSV Duisburg', 'Fortuna Düsseldorf']",VfB Stuttgart,52,0,1991-1992
"['Werder Bremen', 'Bayern München', 'Eintracht Frankfurt', 'Borussia Dortmund', 'Bayer Leverkusen', 'Karlsruher SC', 'VfB Stuttgart', '1. FC Kaiserslautern', 'Bor. Mönchengladbach', 'FC Schalke 04', 'Hamburger SV', '1. FC Köln', '1. FC Nürnberg', 'SG Wattenscheid 09', 'Dynamo Dresden', 'VfL Bochum', 'Bayer 05 Uerdingen', '1. FC Saarbrücken']",Werder Bremen,48,1,1992-1993
"['Bayern München', '1. FC Kaiserslautern', 'Bayer Leverkusen', 'Borussia Dortmund', 'Eintracht Frankfurt', 'Karlsruher SC', 'VfB Stuttgart', 'Werder Bremen', 'MSV Duisburg', 'Bor. Mönchengladbach', '1. FC Köln', 'Hamburger SV', 'Dynamo Dresden', 'FC Schalke 04', 'SC Freiburg', '1. FC Nürnberg', 'SG Wattenscheid 09', 'VfB Leipzig']",Bayern München,44,1,1993-1994
"['Borussia Dortmund', 'Werder Bremen', 'SC Freiburg', '1. FC Kaiserslautern', 'Bor. Mönchengladbach', 'Bayern München', 'Bayer Leverkusen', 'Karlsruher SC', 'Eintracht Frankfurt', '1. FC Köln', 'FC Schalke 04', 'VfB Stuttgart', 'Hamburger SV', 'TSV 1860 München', 'Bayer 05 Uerdingen', 'VfL Bochum', 'MSV Duisburg', 'Dynamo Dresden']",Borussia Dortmund,49,1,1994-1995
"['Borussia Dortmund', 'Bayern München', 'FC Schalke 04', 'Bor. Mönchengladbach', 'Hamburger SV', 'Hansa Rostock', 'Karlsruher SC', 'TSV 1860 München', 'Werder Bremen', 'VfB Stuttgart', 'SC Freiburg', '1. FC Köln', 'Fortuna Düsseldorf', 'Bayer Leverkusen', 'FC St. Pauli', '1. FC Kaiserslautern', 'Eintracht Frankfurt', 'KFC Uerdingen 05']",Borussia Dortmund,68,6,1995-1996
"['Bayern München', 'Bayer Leverkusen', 'Borussia Dortmund', 'VfB Stuttgart', 'VfL Bochum', 'Karlsruher SC', 'TSV 1860 München', 'Werder Bremen', 'MSV Duisburg', '1. FC Köln', 'Bor. Mönchengladbach', 'FC Schalke 04', 'Hamburger SV', 'Arminia Bielefeld', 'Hansa Rostock', 'Fortuna Düsseldorf', 'SC Freiburg', 'FC St. Pauli']",Bayern München,71,2,1996-1997
"['1. FC Kaiserslautern', 'Bayern München', 'Bayer Leverkusen', 'VfB Stuttgart', 'FC Schalke 04', 'Hansa Rostock', 'Werder Bremen', 'MSV Duisburg', 'Hamburger SV', 'Borussia Dortmund', 'Hertha BSC', 'VfL Bochum', 'TSV 1860 München', 'VfL Wolfsburg', 'Bor. Mönchengladbach', 'Karlsruher SC', '1. FC Köln', 'Arminia Bielefeld']",1. FC Kaiserslautern,68,2,1997-1998
"['Bayern München', 'Bayer Leverkusen', 'Hertha BSC', 'Borussia Dortmund', '1. FC Kaiserslautern', 'VfL Wolfsburg', 'Hamburger SV', 'MSV Duisburg', 'TSV 1860 München', 'FC Schalke 04', 'VfB Stuttgart', 'SC Freiburg', 'Werder Bremen', 'Hansa Rostock', 'Eintracht Frankfurt', '1. FC Nürnberg', 'VfL Bochum', 'Bor. Mönchengladbach']",Bayern München,78,15,1998-1999
