teams_ordered,champion,champ_points,champ_margin,year
"['Juventus', 'ACF Fiorentina', 'AS Roma', 'SSC Napoli', 'Inter', 'Ascoli Calcio', 'US Catanzaro', 'US Avellino', 'Torino FC', 'AC Cesena', 'Udinese Calcio', 'Cagliari Calcio', 'Genoa CFC', 'AC Milan', 'Bologna FC', 'Calcio Como']",Juventus,46,1,1981-1982
"['AS Roma', 'Juventus', 'Inter', 'Hellas Verona', 'ACF Fiorentina', 'Udinese Calcio', 'Sampdoria', 'Torino FC', 'US Avellino', 'SSC Napoli', 'Pisa SC', 'Genoa CFC', 'Ascoli Calcio', 'Cagliari Calcio', 'AC Cesena', 'US Catanzaro']",AS Roma,43,4,1982-1983
"['Juventus', 'AS Roma', 'ACF Fiorentina', 'Inter', 'Torino FC', 'Hellas Verona', 'Sampdoria', 'AC Milan', 'Udinese Calcio', 'Ascoli Calcio', 'US Avellino', 'SSC Napoli', 'Genoa CFC', 'Lazio Roma', 'Pisa SC', 'Calcio Catania']",Juventus,43,2,1983-1984
"['Hellas Verona', 'Torino FC', 'Inter', 'Sampdoria', 'Juventus', 'AC Milan', 'AS Roma', 'SSC Napoli', 'ACF Fiorentina', 'Atalanta', 'Udinese Calcio', 'US Avellino', 'Calcio Como', 'Ascoli Calcio', 'US Cremonese', 'Lazio Roma']",Hellas Verona,43,4,1984-1985
"['Juventus', 'AS Roma', 'SSC Napoli', 'ACF Fiorentina', 'Torino FC', 'Inter', 'AC Milan', 'Atalanta', 'Calcio Como', 'Hellas Verona', 'Sampdoria', 'US Avellino', 'Udinese Calcio', 'Pisa SC', 'AS Bari', 'US Lecce']",Juventus,45,4,1985-1986
"['SSC Napoli', 'Juventus', 'Inter', 'Hellas Verona', 'Sampdoria', 'AC Milan', 'AS Roma', 'US Avellino', 'Calcio Como', 'ACF Fiorentina', 'Torino FC', 'Ascoli Calcio', 'Empoli FC', 'Brescia Calcio', 'Atalanta', 'Udinese Calcio']",SSC Napoli,42,3,1986-1987
"['AC Milan', 'SSC Napoli', 'AS Roma', 'Sampdoria', 'Inter', 'Juventus', 'Torino FC', 'ACF Fiorentina', 'AC Cesena', 'Hellas Verona', 'Calcio Como', 'Ascoli Calcio', 'Pisa SC', 'Pescara Calcio', 'US Avellino', 'Empoli FC']",AC Milan,45,3,1987-1988
"['Inter', 'SSC Napoli', 'AC Milan', 'Juventus', 'Sampdoria', 'Atalanta', 'ACF Fiorentina', 'AS Roma', 'US Lecce', 'Lazio Roma', 'Hellas Verona', 'Ascoli Calcio', 'AC Cesena', 'Bologna FC', 'Torino FC', 'Pescara Calcio', 'Pisa SC', 'Calcio Como']",Inter,58,11,1988-1989
"['SSC Napoli', 'AC Milan', 'Inter', 'Juventus', 'Sampdoria', 'AS Roma', 'Atalanta', 'Bologna FC', 'Lazio Roma', 'AS Bari', 'Genoa CFC', 'ACF Fiorentina', 'AC Cesena', 'US Lecce', 'Udinese Calcio', 'Hellas Verona', 'US Cremonese', 'Ascoli Calcio']",SSC Napoli,51,2,1989-1990
"['Sampdoria', 'AC Milan', 'Inter', 'Genoa CFC', 'Torino FC', 'Parma AC', 'Juventus', 'SSC Napoli', 'AS Roma', 'Atalanta', 'Lazio Roma', 'ACF Fiorentina', 'AS Bari', 'Cagliari Calcio', 'US Lecce', 'Pisa SC', 'AC Cesena', 'Bologna FC']",Sampdoria,51,5,1990-1991
"['AC Milan', 'Juventus', 'Torino FC', 'SSC Napoli', 'AS Roma', 'Sampdoria', 'Parma AC', 'Inter', 'US Foggia', 'Lazio Roma', 'Atalanta', 'ACF Fiorentina', 'Cagliari Calcio', 'Genoa CFC', 'AS Bari', 'Hellas Verona', 'US Cremonese', 'Ascoli Calcio']",AC Milan,56,8,1991-1992
