teams_ordered,champion,champ_points,champ_margin,year
"['AS Monaco', 'FC Nantes', 'RC Strasbourg', 'Olympique Marseille', 'SC Bastia', 'AS Nancy Lorraine', 'AS Saint-Étienne', 'OGC Nice', 'FC Sochaux', 'Stade Lavallois', 'Paris Saint-Germain', 'FC Metz', 'Nîmes Olympique', 'US Valenciennes-Anzin', 'Stade Reims', 'Girondins Bordeaux', 'Olympique Lyon', 'RC Lens', 'Troyes AF', 'FC Rouen 1899']",AS Monaco,53,1,1977-1978
"['RC Strasbourg', 'FC Nantes', 'AS Saint-Étienne', 'AS Monaco', 'FC Metz', 'Lille OSC', 'Olympique Lyon', 'Nîmes Olympique', 'FC Sochaux', 'Girondins Bordeaux', 'AS Nancy Lorraine', 'Olympique Marseille', 'Paris Saint-Germain', 'SC Bastia', 'OGC Nice', 'Stade Lavallois', 'Angers SCO', 'US Valenciennes-Anzin', 'Paris FC', 'Stade Reims']",RC Strasbourg,56,2,1978-1979
"['FC Nantes', 'FC Sochaux', 'AS Saint-Étienne', 'AS Monaco', 'RC Strasbourg', 'Girondins Bordeaux', 'Paris Saint-Germain', 'US Valenciennes-Anzin', 'RC Lens', 'Nîmes Olympique', 'AS Nancy Lorraine', 'Stade Lavallois', 'Lille OSC', 'Angers SCO', 'OGC Nice', 'SC Bastia', 'FC Metz', 'Olympique Lyon', 'Olympique Marseille', 'Stade Brestois']",FC Nantes,57,3,1979-1980
"['AS Saint-Étienne', 'FC Nantes', 'Girondins Bordeaux', 'AS Monaco', 'Paris Saint-Germain', 'Olympique Lyon', 'RC Strasbourg', 'AS Nancy Lorraine', 'FC Metz', 'AJ Auxerre', 'US Valenciennes-Anzin', 'SC Bastia', 'RC Lens', 'FC Sochaux', 'OGC Nice', 'Stade Lavallois', 'Lille OSC', 'Tours FC', 'Nîmes Olympique', 'Angers SCO']",AS Saint-Étienne,57,2,1980-1981
"['AS Monaco', 'AS Saint-Étienne', 'FC Sochaux', 'Girondins Bordeaux', 'Stade Lavallois', 'FC Nantes', 'Paris Saint-Germain', 'AS Nancy Lorraine', 'Brest Armorique FC', 'RC Strasbourg', 'Tours FC', 'SC Bastia', 'RC Lens', 'Lille OSC', 'AJ Auxerre', 'Olympique Lyon', 'FC Metz', 'US Valenciennes-Anzin', 'OGC Nice', 'Montpellier La Paillade SC']",AS Monaco,55,1,1981-1982
"['FC Nantes', 'Girondins Bordeaux', 'Paris Saint-Germain', 'RC Lens', 'Stade Lavallois', 'AS Monaco', 'AS Nancy Lorraine', 'AJ Auxerre', 'FC Metz', 'Brest Armorique FC', 'Toulouse FC', 'FC Sochaux', 'Lille OSC', 'AS Saint-Étienne', 'RC Strasbourg', 'FC Rouen 1899', 'SC Bastia', 'Tours FC', 'Olympique Lyon', 'FC Mulhouse']",FC Nantes,58,10,1982-1983
"['Girondins Bordeaux', 'AS Monaco', 'AJ Auxerre', 'Paris Saint-Germain', 'Toulouse FC', 'FC Nantes', 'FC Sochaux', 'RC Strasbourg', 'Lille OSC', 'SC Bastia', 'Stade Lavallois', 'FC Metz', 'RC Lens', 'FC Rouen 1899', 'AS Nancy Lorraine', 'Sporting Club de Toulon', 'Brest Armorique FC', 'AS Saint-Étienne', 'Nîmes Olympique', 'Stade Rennais']",Girondins Bordeaux,54,0,1983-1984
"['Girondins Bordeaux', 'FC Nantes', 'AS Monaco', 'AJ Auxerre', 'FC Metz', 'SC Toulon', 'RC Lens', 'FC Sochaux', 'Brest Armorique FC', 'Stade Lavallois', 'Toulouse FC', 'AS Nancy Lorraine', 'Paris Saint-Germain', 'SC Bastia', 'Lille OSC', 'RC Strasbourg', 'Olympique Marseille', 'FC Rouen 1899', 'Tours FC', 'Racing Club de France']",Girondins Bordeaux,59,3,1984-1985
"['Paris Saint-Germain', 'FC Nantes', 'Girondins Bordeaux', 'Toulouse FC', 'RC Lens', 'FC Metz', 'AJ Auxerre', 'OGC Nice', 'AS Monaco', 'Lille OSC', 'Stade Lavallois', 'Olympique Marseille', 'Stade Rennais', 'Brest Armorique FC', 'FC Sochaux', 'SC Toulon', 'Havre AC', 'AS Nancy Lorraine', 'RC Strasbourg', 'SC Bastia']",Paris Saint-Germain,56,3,1985-1986
"['Girondins Bordeaux', 'Olympique Marseille', 'Toulouse FC', 'AJ Auxerre', 'AS Monaco', 'FC Metz', 'Paris Saint-Germain', 'Brest Armorique FC', 'Stade Lavallois', 'RC Lens', 'OGC Nice', 'FC Nantes', 'Matra Racing', 'Lille OSC', 'SC Toulon', 'AS Saint-Étienne', 'Havre AC', 'FC Sochaux', 'AS Nancy Lorraine', 'Stade Rennais']",Girondins Bordeaux,53,4,1986-1987
"['AS Monaco', 'Girondins Bordeaux', 'Montpellier La Paillade SC', 'AS Saint-Étienne', 'SC Toulon', 'Olympique Marseille', 'Matra Racing', 'FC Metz', 'AJ Auxerre', 'FC Nantes', 'Lille OSC', 'AS Cannes', 'Toulouse FC', 'Stade Lavallois', 'Paris Saint-Germain', 'OGC Nice', 'RC Lens', 'Chamois Niortais', 'Brest Armorique FC', 'Havre AC']",AS Monaco,52,6,1987-1988
"['Olympique Marseille', 'Paris Saint-Germain', 'AS Monaco', 'FC Sochaux', 'AJ Auxerre', 'FC Nantes', 'Lille OSC', 'OGC Nice', 'Toulouse FC', 'SC Toulon', 'Montpellier La Paillade SC', 'Girondins Bordeaux', 'AS Cannes', 'AS Saint-Étienne', 'FC Metz', 'SM Caen', 'Racing Club de France', 'RC Strasbourg', 'Stade Lavallois', 'RC Lens']",Olympique Marseille,53,2,1988-1989
"['Olympique Marseille', 'Girondins Bordeaux', 'AS Monaco', 'FC Sochaux', 'Paris Saint-Germain', 'AJ Auxerre', 'FC Nantes', 'Olympique Lyon', 'Toulouse FC', 'Brest Armorique FC', 'AS Cannes', 'SC Toulon', 'Montpellier HSC', 'FC Metz', 'AS Saint-Étienne', 'SM Caen', 'Lille OSC', 'OGC Nice', 'Racing Club de France', 'FC Mulhouse']",Olympique Marseille,53,2,1989-1990
"['Olympique Marseille', 'AS Monaco', 'AJ Auxerre', 'AS Cannes', 'Olympique Lyon', 'Lille OSC', 'Montpellier HSC', 'SM Caen', 'Paris Saint-Germain', 'Girondins Bordeaux', 'Stade Brestois', 'FC Metz', 'AS Saint-Étienne', 'OGC Nice', 'FC Nantes', 'SC Toulon', 'AS Nancy Lorraine', 'FC Sochaux', 'Toulouse FC', 'Stade Rennais']",Olympique Marseille,55,4,1990-1991
"['Olympique Marseille', 'AS Monaco', 'Paris Saint-Germain', 'AJ Auxerre', 'SM Caen', 'Montpellier HSC', 'Havre AC', 'RC Lens', 'FC Nantes', 'AS Saint-Étienne', 'Toulouse FC', 'FC Metz', 'Lille OSC', 'SC Toulon', 'Nîmes Olympique', 'Olympique Lyon', 'FC Sochaux', 'Stade Rennais', 'AS Cannes', 'AS Nancy Lorraine']",Olympique Marseille,58,6,1991-1992
"['Olympique Marseille', 'Paris Saint-Germain', 'AS Monaco', 'Girondins Bordeaux', 'FC Nantes', 'AJ Auxerre', 'AS Saint-Étienne', 'RC Strasbourg', 'RC Lens', 'Montpellier HSC', 'SM Caen', 'FC Metz', 'Toulouse FC', 'Olympique Lyon', 'Havre AC', 'FC Sochaux', 'Lille OSC', 'US Valenciennes-Anzin', 'SC Toulon', 'Nîmes Olympique']",Olympique Marseille,53,2,1992-1993
