teams_ordered,champion,champ_points,champ_margin,year
"['Real Madrid', 'Real Sociedad', 'Sporting Gijón', 'FC Barcelona', 'Valencia CF', 'Real Betis', 'Athletic Bilbao', 'Sevilla FC', 'UD Salamanca', 'Real Zaragoza', 'AD Almería', 'UD Las Palmas', 'Atlético Madrid', 'Espanyol Barcelona', 'Hércules CF', 'Rayo Vallecano', 'Burgos CF', 'CD Málaga']",Real Madrid,53,1,1979-1980
"['Real Sociedad', 'Real Madrid', 'Atlético Madrid', 'Valencia CF', 'FC Barcelona', 'Real Betis', 'Sporting Gijón', 'Sevilla FC', 'Athletic Bilbao', 'Espanyol Barcelona', 'CA Osasuna', 'Real Valladolid', 'Hércules CF', 'Real Zaragoza', 'UD Las Palmas', 'Real Murcia', 'UD Salamanca', 'AD Almería']",Real Sociedad,45,0,1980-1981
"['Real Sociedad', 'FC Barcelona', 'Real Madrid', 'Athletic Bilbao', 'Valencia CF', 'Real Betis', 'Sevilla FC', 'Atlético Madrid', 'CA Osasuna', 'Real Zaragoza', 'Real Valladolid', 'Espanyol Barcelona', 'Racing Santander', 'Sporting Gijón', 'UD Las Palmas', 'Cádiz CF', 'Hércules CF', 'CD Castellón']",Real Sociedad,47,2,1981-1982
"['Athletic Bilbao', 'Real Madrid', 'Atlético Madrid', 'FC Barcelona', 'Sevilla FC', 'Real Zaragoza', 'Real Sociedad', 'Sporting Gijón', 'Espanyol Barcelona', 'Real Betis', 'CD Málaga', 'Real Valladolid', 'UD Salamanca', 'CA Osasuna', 'Valencia CF', 'UD Las Palmas', 'RC Celta', 'Racing Santander']",Athletic Bilbao,50,1,1982-1983
"['Athletic Bilbao', 'Real Madrid', 'FC Barcelona', 'Atlético Madrid', 'Real Betis', 'Real Sociedad', 'Real Zaragoza', 'Sevilla FC', 'CD Málaga', 'Espanyol Barcelona', 'Real Murcia', 'Valencia CF', 'Sporting Gijón', 'Real Valladolid', 'CA Osasuna', 'Cádiz CF', 'RCD Mallorca', 'UD Salamanca']",Athletic Bilbao,49,0,1983-1984
"['FC Barcelona', 'Atlético Madrid', 'Athletic Bilbao', 'Sporting Gijón', 'Real Madrid', 'Real Sociedad', 'CA Osasuna', 'Espanyol Barcelona', 'Valencia CF', 'Real Zaragoza', 'Racing Santander', 'Sevilla FC', 'Real Valladolid', 'Real Betis', 'Hércules CF', 'CD Málaga', 'Elche CF', 'Real Murcia']",FC Barcelona,53,10,1984-1985
"['Real Madrid', 'FC Barcelona', 'Athletic Bilbao', 'Real Zaragoza', 'Atlético Madrid', 'Sporting Gijón', 'Real Sociedad', 'Real Betis', 'Sevilla FC', 'Real Valladolid', 'Espanyol Barcelona', 'Racing Santander', 'CA Osasuna', 'UD Las Palmas', 'Cádiz CF', 'Valencia CF', 'Hércules CF', 'RC Celta']",Real Madrid,56,11,1985-1986
"['Real Madrid', 'FC Barcelona', 'Espanyol Barcelona', 'Sporting Gijón', 'Real Zaragoza', 'RCD Mallorca']",Real Madrid,66,3,1986-1987
"['Real Madrid', 'Real Sociedad', 'Atlético Madrid', 'Athletic Bilbao', 'CA Osasuna', 'FC Barcelona', 'RC Celta', 'Real Valladolid', 'Sporting Gijón', 'Sevilla FC', 'Real Zaragoza', 'Cádiz CF', 'Valencia CF', 'Espanyol Barcelona', 'Real Betis', 'CD Logroñés', 'Real Murcia', 'RCD Mallorca', 'CE Sabadell', 'UD Las Palmas']",Real Madrid,62,11,1987-1988
"['Real Madrid', 'FC Barcelona', 'Valencia CF', 'Atlético Madrid', 'Real Valladolid', 'Real Zaragoza', 'Athletic Bilbao', 'RC Celta', 'Sevilla FC', 'CA Osasuna', 'Real Sociedad', 'Sporting Gijón', 'Real Oviedo', 'CD Logroñés', 'Cádiz CF', 'CD Málaga', 'Espanyol Barcelona', 'Real Betis', 'Real Murcia', 'Elche CF']",Real Madrid,62,5,1988-1989
