teams_ordered,champion,champ_points,champ_margin,year
"['AFC Ajax', 'Feyenoord', 'PSV Eindhoven', ""AZ '67 Alkmaar"", 'Roda JC Kerkrade', 'Sparta Rotterdam', 'FC Den Haag', 'PEC Zwolle', 'Go Ahead Eagles', 'NAC Breda', 'MVV', ""FC Twente '65"", 'FC Utrecht', 'ACV Vitesse', 'SC NEC', 'HFC Haarlem', 'FC Volendam', 'FC VVV']",AFC Ajax,54,3,1978-1979
"['AFC Ajax', ""AZ '67 Alkmaar"", 'PSV Eindhoven', 'Feyenoord', 'FC Utrecht', ""FC Twente '65"", 'Roda JC Kerkrade', 'Willem II', 'SBV Excelsior', 'FC Den Haag', 'MVV', 'Go Ahead Eagles', 'Sparta Rotterdam', 'PEC Zwolle', 'SC NEC', 'NAC Breda', 'ACV Vitesse', 'HFC Haarlem']",AFC Ajax,50,3,1979-1980
"[""AZ '67 Alkmaar"", 'AFC Ajax', 'FC Utrecht', 'Feyenoord', 'PSV Eindhoven', 'FC Twente', 'Sparta Rotterdam', 'MVV', 'PEC Zwolle', 'Willem II', 'Roda JC Kerkrade', 'Go Ahead Eagles', 'NAC Breda', 'FC Den Haag', 'FC Groningen', 'SC NEC', 'SBV Excelsior', 'FC Wageningen']",AZ '67 Alkmaar,60,12,1980-1981
"['AFC Ajax', 'PSV Eindhoven', ""AZ '67 Alkmaar"", 'SBV Haarlem', 'FC Utrecht', 'Feyenoord', 'FC Groningen', 'Sparta Rotterdam', 'Roda JC Kerkrade', 'Go Ahead Eagles', 'NAC Breda', 'FC Twente', 'NEC Nijmegen', 'Willem II', 'PEC Zwolle', 'MVV', 'FC Den Haag', 'De Graafschap']",AFC Ajax,56,5,1981-1982
"['AFC Ajax', 'Feyenoord', 'PSV Eindhoven', 'Sparta Rotterdam', 'FC Groningen', 'Roda JC Kerkrade', 'SBV Haarlem', 'Fortuna Sittard', 'SBV Excelsior', 'FC Utrecht', ""AZ '67 Alkmaar"", 'Go Ahead Eagles', ""PEC Zwolle '82"", 'Willem II', 'Helmond Sport', 'FC Twente', 'NAC Breda', 'NEC Nijmegen']",AFC Ajax,58,4,1982-1983
"['Feyenoord', 'PSV Eindhoven', 'AFC Ajax', 'SBV Haarlem', 'Sparta Rotterdam', ""AZ '67 Alkmaar"", 'FC Groningen', 'FC Utrecht', 'Roda JC Kerkrade', ""FC Den Bosch '67"", 'Go Ahead Eagles', 'Fortuna Sittard', 'SBV Excelsior', ""PEC Zwolle '82"", 'FC Volendam', 'Helmond Sport', 'Willem II', ""Drechtsteden '79""]",Feyenoord,57,5,1983-1984
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'Sparta Rotterdam', 'FC Groningen', ""FC Den Bosch '67"", 'Fortuna Sittard', 'FC Twente', 'SBV Haarlem', 'FC Utrecht', 'Roda JC Kerkrade', 'SBV Excelsior', ""AZ '67 Alkmaar"", 'MVV', 'Go Ahead Eagles', 'FC Volendam', 'NAC Breda', ""PEC Zwolle '82""]",AFC Ajax,54,6,1984-1985
"['PSV Eindhoven', 'AFC Ajax', 'Feyenoord', 'FC Groningen', 'Roda JC Kerkrade', ""FC Den Bosch '67"", 'Sparta Rotterdam', 'Fortuna Sittard', ""AZ '67 Alkmaar"", 'Go Ahead Eagles', 'SBV Haarlem', 'FC Utrecht', 'VVV', 'FC Twente', 'SBV Excelsior', 'MVV', 'NEC Nijmegen', ""SC Heracles '74""]",PSV Eindhoven,60,8,1985-1986
"['PSV Eindhoven', 'AFC Ajax', 'Feyenoord', 'Roda JC Kerkrade', 'VVV', 'FC Utrecht', 'FC Twente', 'Sparta Rotterdam', 'Fortuna Sittard', ""FC Den Bosch '67"", ""PEC Zwolle '82"", 'SBV Haarlem', 'FC Groningen', 'FC Den Haag', 'AZ Alkmaar', 'Go Ahead Eagles', 'BV Veendam', 'SBV Excelsior']",PSV Eindhoven,59,6,1986-1987
"['PSV Eindhoven', 'AFC Ajax', 'FC Twente', 'Willem II', 'VVV', 'Feyenoord', ""FC Den Bosch '67"", 'Fortuna Sittard', 'SBV Haarlem', 'FC Utrecht', 'FC Groningen', 'Sparta Rotterdam', ""PEC Zwolle '82"", 'FC Volendam', 'Roda JC Kerkrade', 'AZ Alkmaar', 'FC Den Haag', ""Drechtsteden '79""]",PSV Eindhoven,59,9,1987-1988
